"participant_id","noun_condition","voice","ir_cr","wr_acc_score","ir_rt","wr_rt"
257,"HH","Active",0.354166666666667,0.666666666666667,1844,NA
257,"HH","Passive",0.354166666666667,0.666666666666667,2117,441
257,"HL","Active",0.354166666666667,0.666666666666667,1688.33333333333,NA
257,"HL","Passive",0.1875,0.5,1950.5,NA
257,"LH","Active",0.520833333333333,0.75,1898.75,NA
257,"LH","Passive",0.1875,0.5,1915,NA
257,"LL","Active",0.854166666666667,0.5,2255.66666666667,388
257,"LL","Passive",0.520833333333333,0.75,2615.75,NA
258,"HH","Active",1,0.75,2184.75,335.333333333333
258,"HH","Passive",0.75,1,1733.66666666667,959.5
258,"HL","Active",0.75,1,2524.33333333333,481.666666666667
258,"HL","Passive",1,0.75,1842.5,300.75
258,"LH","Active",0.75,1,2654.66666666667,412.666666666667
258,"LH","Passive",0.75,1,2301,844.666666666667
258,"LL","Active",1,1,1943,384
258,"LL","Passive",1,0.25,2118.25,1763
259,"HH","Active",0.541666666666667,0.6,1814.6,2369.8
259,"HH","Passive",0.375,1,2107.75,1168.5
259,"HL","Active",0.541666666666667,0.6,1941.4,1513
259,"HL","Passive",0.541666666666667,0.6,1476.6,925.8
259,"LH","Active",0.541666666666667,0.8,1439.8,1365
259,"LH","Passive",0.375,0.75,1461.33333333333,1473
259,"LL","Active",0.541666666666667,0.8,1399.75,1820.8
259,"LL","Passive",0.541666666666667,0.4,1696,2549.4
260,"HH","Active",0.59375,0.75,2156.75,435.5
260,"HH","Passive",0.760416666666667,0.6,2068.6,846
260,"HL","Active",0.760416666666667,0.8,1638.6,452.5
260,"HL","Passive",0.927083333333333,0.666666666666667,1663,1506.2
260,"LH","Active",0.760416666666667,0.8,1766.8,509.2
260,"LH","Passive",0.760416666666667,1,1635.2,483.2
260,"LL","Active",0.760416666666667,0.8,1951,564.6
260,"LL","Passive",0.59375,0.75,2044,501.75
261,"HH","Active",0.739583333333333,0.666666666666667,1132.5,511.4
261,"HH","Passive",0.739583333333333,0.833333333333333,1381.5,875.4
261,"HL","Active",0.739583333333333,0.833333333333333,1429.33333333333,1081.33333333333
261,"HL","Passive",0.739583333333333,0.833333333333333,1697.33333333333,919.4
261,"LH","Active",0.739583333333333,1,1215.5,516.666666666667
261,"LH","Passive",0.739583333333333,1,1484.16666666667,716.4
261,"LL","Active",0.739583333333333,0.666666666666667,1427.83333333333,903.666666666667
261,"LL","Passive",0.739583333333333,0.833333333333333,1563.66666666667,636.666666666667
